Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,2000,Whole Year ,Andhra Pradesh,262,724,935.6,25720.54,68.12,2.78
Arhar/Tur,2000,Kharif     ,Andhra Pradesh,507366,216457,935.6,49808120.22,131915.16,0.433181818
Arhar/Tur,2000,Rabi       ,Andhra Pradesh,6098,2701,935.6,598640.66,1585.48,0.42375
Bajra,2000,Kharif     ,Andhra Pradesh,129475,135964,935.6,12710560.75,33663.5,1.001666667
Bajra,2000,Rabi       ,Andhra Pradesh,14229,12524,935.6,1396860.93,3699.54,0.883125
Banana,2000,Whole Year ,Andhra Pradesh,49051,819660,935.6,4815336.67,12753.26,17.63090909
Cashewnut,2000,Whole Year ,Andhra Pradesh,145315,31074,935.6,14265573.55,37781.9,0.190625
Castor seed,2000,Kharif     ,Andhra Pradesh,398561,136860,935.6,39126733.37,103625.86,0.339047619
Coconut ,2000,Whole Year ,Andhra Pradesh,102646,1092707179,935.6,10076757.82,26687.96,9101.813684
Coriander,2000,Whole Year ,Andhra Pradesh,58441,19993,935.6,5737152.97,15194.66,0.395
Cotton(lint),2000,Kharif     ,Andhra Pradesh,1021721,1662683,935.6,100302350.6,265647.46,1.687727273
Dry chillies,2000,Kharif     ,Andhra Pradesh,183741,410643,935.6,18037853.97,47772.66,2.146818182
Dry chillies,2000,Rabi       ,Andhra Pradesh,54262,115528,935.6,5326900.54,14108.12,2.023181818
Ginger,2000,Whole Year ,Andhra Pradesh,2329,6515,935.6,228637.93,605.54,3.14875
Gram,2000,Kharif     ,Andhra Pradesh,100,173,935.6,9817,26,1.1575
Gram,2000,Rabi       ,Andhra Pradesh,200763,228546,935.6,19708903.71,52198.38,1.4145
Groundnut,2000,Kharif     ,Andhra Pradesh,1601349,1697233,935.6,157204431.3,416350.74,0.904090909
Groundnut,2000,Rabi       ,Andhra Pradesh,272468,445720,935.6,26748183.56,70841.68,1.668181818
Horse-gram,2000,Kharif     ,Andhra Pradesh,13824,6838,935.6,1357102.08,3594.24,0.5
Horse-gram,2000,Rabi       ,Andhra Pradesh,64789,13492,935.6,6360336.13,16845.14,0.209545455
Jowar,2000,Kharif     ,Andhra Pradesh,332435,328490,935.6,32635143.95,86433.1,0.830909091
Jowar,2000,Rabi       ,Andhra Pradesh,344493,290498,935.6,33818877.81,89568.18,0.840909091
Linseed,2000,Rabi       ,Andhra Pradesh,5486,1093,935.6,538560.62,1426.36,0.2075
Maize,2000,Kharif     ,Andhra Pradesh,430544,1107165,935.6,42266504.48,111941.44,2.564545455
Maize,2000,Rabi       ,Andhra Pradesh,97123,473602,935.6,9534564.91,25251.98,5.019545455
Mesta,2000,Kharif     ,Andhra Pradesh,77823,686947,935.6,7639883.91,20233.98,8.745384615
Moong(Green Gram),2000,Kharif     ,Andhra Pradesh,392017,141194,935.6,38484308.89,101924.42,0.404090909
Moong(Green Gram),2000,Rabi       ,Andhra Pradesh,128365,43016,935.6,12601592.05,33374.9,0.371578947
Niger seed,2000,Kharif     ,Andhra Pradesh,18452,6001,935.6,1811432.84,4797.52,0.36
Onion,2000,Kharif     ,Andhra Pradesh,17058,227873,935.6,1674583.86,4435.08,12.77315789
Onion,2000,Rabi       ,Andhra Pradesh,13248,308617,935.6,1300556.16,3444.48,22.5085
Other  Rabi pulses,2000,Rabi       ,Andhra Pradesh,14200,5471,935.6,1394014,3692,0.324705882
Other Kharif pulses,2000,Kharif     ,Andhra Pradesh,19850,5000,935.6,1948674.5,5161,0.275263158
Potato,2000,Whole Year ,Andhra Pradesh,2489,14618,935.6,244345.13,647.14,6.14375
Ragi,2000,Kharif     ,Andhra Pradesh,83492,92780,935.6,8196409.64,21707.92,1.172
Ragi,2000,Rabi       ,Andhra Pradesh,15760,27299,935.6,1547159.2,4097.6,1.639285714
Rapeseed &Mustard,2000,Rabi       ,Andhra Pradesh,4482,1048,935.6,439997.94,1165.32,0.151538462
Rice,2000,Kharif     ,Andhra Pradesh,3003673,8233806,935.6,294870578.4,780954.98,2.7
Rice,2000,Rabi       ,Andhra Pradesh,1239053,4224208,935.6,121637833,322153.78,2.939090909
Safflower,2000,Rabi       ,Andhra Pradesh,16198,6574,935.6,1590157.66,4211.48,0.34
Sesamum,2000,Kharif     ,Andhra Pradesh,143737,29348,935.6,14110661.29,37371.62,0.192272727
Sesamum,2000,Rabi       ,Andhra Pradesh,39066,7893,935.6,3835109.22,10157.16,0.204444444
Small millets,2000,Kharif     ,Andhra Pradesh,64766,38398,935.6,6358078.22,16839.16,0.668125
Small millets,2000,Rabi       ,Andhra Pradesh,1961,1449,935.6,192511.37,509.86,0.681666667
Sugarcane,2000,Whole Year ,Andhra Pradesh,237150,17690131,935.6,23281015.5,61659,73.8955
Sunflower,2000,Kharif     ,Andhra Pradesh,197261,167828,935.6,19365112.37,51287.86,1.038421053
Sweet potato,2000,Whole Year ,Andhra Pradesh,1938,25467,935.6,190253.46,503.88,13.93277778
Tapioca,2000,Whole Year ,Andhra Pradesh,21506,166124,935.6,2111244.02,5591.56,7.528
Tobacco,2000,Whole Year ,Andhra Pradesh,126144,463405,935.6,12383556.48,32797.44,3.364285714
Urad,2000,Kharif     ,Andhra Pradesh,99423,28296,935.6,9760355.91,25849.98,0.1615
Urad,2000,Rabi       ,Andhra Pradesh,455864,362283,935.6,44752168.88,118524.64,0.655454545
Wheat,2000,Rabi       ,Andhra Pradesh,14261,8121,935.6,1400002.37,3707.86,0.581818182
Arecanut,2001,Whole Year ,Andhra Pradesh,268,449,928.4,27370.84,69.68,1.71
Arhar/Tur,2001,Kharif     ,Andhra Pradesh,414401,185620,928.4,42322774.13,107744.26,0.465
Arhar/Tur,2001,Rabi       ,Andhra Pradesh,5439,2706,928.4,555485.07,1414.14,0.46
Bajra,2001,Kharif     ,Andhra Pradesh,81851,63589,928.4,8359442.63,21281.26,0.851764706
Bajra,2001,Rabi       ,Andhra Pradesh,9684,7442,928.4,989026.92,2517.84,0.795
Banana,2001,Whole Year ,Andhra Pradesh,50507,761365,928.4,5158279.91,13131.82,11.73363636
Cashewnut,2001,Whole Year ,Andhra Pradesh,147370,38729,928.4,15050898.1,38316.2,0.236
Castor seed,2001,Kharif     ,Andhra Pradesh,283585,82983,928.4,28962536.05,73732.1,0.296842105
Coconut ,2001,Whole Year ,Andhra Pradesh,104244,1124969850,928.4,10646439.72,27103.44,9057.671111
Coriander,2001,Whole Year ,Andhra Pradesh,57913,22711,928.4,5914654.69,15057.38,0.531176471
Cotton(lint),2001,Kharif     ,Andhra Pradesh,1107852,1876698,928.4,113144924.8,288041.52,1.820454545
Dry chillies,2001,Kharif     ,Andhra Pradesh,170661,463307,928.4,17429607.93,44371.86,2.497272727
Dry chillies,2001,Rabi       ,Andhra Pradesh,54167,128104,928.4,5532075.71,14083.42,2.276363636
Ginger,2001,Whole Year ,Andhra Pradesh,2547,6263,928.4,260125.11,662.22,2.4375
Gram,2001,Kharif     ,Andhra Pradesh,91,101,928.4,9293.83,23.66,1.092857143
Gram,2001,Rabi       ,Andhra Pradesh,285086,363033,928.4,29115833.18,74122.36,1.419
Groundnut,2001,Kharif     ,Andhra Pradesh,1438665,817551,928.4,146930856.5,374052.9,0.83
Groundnut,2001,Rabi       ,Andhra Pradesh,252453,432682,928.4,25783024.89,65637.78,1.765454545
Horse-gram,2001,Kharif     ,Andhra Pradesh,11412,4417,928.4,1165507.56,2967.12,0.368888889
Horse-gram,2001,Rabi       ,Andhra Pradesh,68927,34846,928.4,7039514.51,17921.02,0.458095238
Jowar,2001,Kharif     ,Andhra Pradesh,299306,287310,928.4,30568121.78,77819.56,0.838095238
Jowar,2001,Rabi       ,Andhra Pradesh,340023,346741,928.4,34726548.99,88405.98,0.854090909
Linseed,2001,Rabi       ,Andhra Pradesh,5872,1419,928.4,599707.36,1526.72,0.218333333
Maize,2001,Kharif     ,Andhra Pradesh,337533,986011,928.4,34472245.29,87758.58,2.801818182
Maize,2001,Rabi       ,Andhra Pradesh,90752,470744,928.4,9268501.76,23595.52,5.592857143
Mesta,2001,Kharif     ,Andhra Pradesh,78942,671542,928.4,8062346.46,20524.92,8.370909091
Moong(Green Gram),2001,Kharif     ,Andhra Pradesh,338337,113312,928.4,34554357.81,87967.62,0.408636364
Moong(Green Gram),2001,Rabi       ,Andhra Pradesh,137698,42031,928.4,14063096.74,35801.48,0.351
Niger seed,2001,Kharif     ,Andhra Pradesh,19090,8017,928.4,1949661.7,4963.4,0.38
Onion,2001,Kharif     ,Andhra Pradesh,17736,234978,928.4,1811377.68,4611.36,12.74411765
Onion,2001,Rabi       ,Andhra Pradesh,14089,324477,928.4,1438909.57,3663.14,21.08136364
Other  Rabi pulses,2001,Rabi       ,Andhra Pradesh,13750,5012,928.4,1404287.5,3575,0.510666667
Other Kharif pulses,2001,Kharif     ,Andhra Pradesh,17331,4573,928.4,1770015.03,4506.06,0.314210526
Potato,2001,Whole Year ,Andhra Pradesh,2348,14653,928.4,239801.24,610.48,5.85
Ragi,2001,Kharif     ,Andhra Pradesh,68733,80097,928.4,7019701.29,17870.58,1.252666667
Ragi,2001,Rabi       ,Andhra Pradesh,12994,22707,928.4,1327077.22,3378.44,1.738
Rapeseed &Mustard,2001,Rabi       ,Andhra Pradesh,2452,790,928.4,250422.76,637.52,0.3275
Rice,2001,Kharif     ,Andhra Pradesh,2426073,6500545,928.4,247774835.5,630778.98,2.627272727
Rice,2001,Rabi       ,Andhra Pradesh,1398674,4889246,928.4,142846575.6,363655.24,3.025909091
Safflower,2001,Rabi       ,Andhra Pradesh,19728,5920,928.4,2014820.64,5129.28,0.303
Sesamum,2001,Kharif     ,Andhra Pradesh,92861,16651,928.4,9483893.93,24143.86,0.168095238
Sesamum,2001,Rabi       ,Andhra Pradesh,39475,10049,928.4,4031581.75,10263.5,0.283684211
Small millets,2001,Kharif     ,Andhra Pradesh,56370,33223,928.4,5757068.1,14656.2,0.469285714
Small millets,2001,Rabi       ,Andhra Pradesh,931,760,928.4,95083.03,242.06,0.732
Sugarcane,2001,Whole Year ,Andhra Pradesh,218298,18081889,928.4,22294774.74,56757.48,84.989
Sunflower,2001,Kharif     ,Andhra Pradesh,267613,219397,928.4,27331315.69,69579.38,0.986111111
Sweet potato,2001,Whole Year ,Andhra Pradesh,1945,25810,928.4,198642.85,505.7,14.05764706
Tapioca,2001,Whole Year ,Andhra Pradesh,17694,146361,928.4,1807088.22,4600.44,7.83
Tobacco,2001,Whole Year ,Andhra Pradesh,188936,418057,928.4,19296033.68,49123.36,2.97047619
Urad,2001,Kharif     ,Andhra Pradesh,107061,44570,928.4,10934139.93,27835.86,0.388095238
Urad,2001,Rabi       ,Andhra Pradesh,519831,338499,928.4,53090340.03,135156.06,0.439545455
Wheat,2001,Rabi       ,Andhra Pradesh,13793,9486,928.4,1408679.09,3586.18,0.6275
Arecanut,2002,Whole Year ,Andhra Pradesh,296,427,648.1,28022.32,74,1.4525
Arhar/Tur,2002,Kharif     ,Andhra Pradesh,423436,147361,648.1,40086686.12,105859,0.337727273
Arhar/Tur,2002,Rabi       ,Andhra Pradesh,8200,3004,648.1,776294,2050,0.299333333
Bajra,2002,Kharif     ,Andhra Pradesh,79711,53526,648.1,7546240.37,19927.75,0.706470588
Bajra,2002,Rabi       ,Andhra Pradesh,7268,3953,648.1,688061.56,1817,0.594285714
Banana,2002,Whole Year ,Andhra Pradesh,39354,1027659,648.1,3725643.18,9838.5,26.83952381
Cashewnut,2002,Whole Year ,Andhra Pradesh,150644,19643,648.1,14261467.48,37661,0.168125
Castor seed,2002,Kharif     ,Andhra Pradesh,231902,86818,648.1,21954162.34,57975.5,0.296315789
Coconut ,2002,Whole Year ,Andhra Pradesh,105291,1158625735,648.1,9967898.97,26322.75,9202.625556
Coriander,2002,Whole Year ,Andhra Pradesh,45073,13721,648.1,4267060.91,11268.25,0.414705882
Cotton(lint),2002,Kharif     ,Andhra Pradesh,803274,1085739,648.1,76045949.58,200818.5,1.455238095
Dry chillies,2002,Kharif     ,Andhra Pradesh,176001,309369,648.1,16662014.67,44000.25,1.668636364
Dry chillies,2002,Rabi       ,Andhra Pradesh,47247,99444,648.1,4472873.49,11811.75,2.070909091
Ginger,2002,Whole Year ,Andhra Pradesh,2026,3313,648.1,191801.42,506.5,1.635
Gram,2002,Kharif     ,Andhra Pradesh,37,45,648.1,3502.79,9.25,1.0075
Gram,2002,Rabi       ,Andhra Pradesh,390113,381761,648.1,36931997.71,97528.25,1.162380952
Groundnut,2002,Kharif     ,Andhra Pradesh,1270662,542342,648.1,120293571.5,317665.5,0.767727273
Groundnut,2002,Rabi       ,Andhra Pradesh,198962,278312,648.1,18835732.54,49740.5,1.495454545
Horse-gram,2002,Kharif     ,Andhra Pradesh,14961,6547,648.1,1416357.87,3740.25,0.420833333
Horse-gram,2002,Rabi       ,Andhra Pradesh,66480,22552,648.1,6293661.6,16620,0.294090909
Jowar,2002,Kharif     ,Andhra Pradesh,263673,257241,648.1,24961922.91,65918.25,0.661363636
Jowar,2002,Rabi       ,Andhra Pradesh,360173,350255,648.1,34097577.91,90043.25,0.841818182
Linseed,2002,Rabi       ,Andhra Pradesh,4070,1238,648.1,385306.9,1017.5,0.322857143
Maize,2002,Kharif     ,Andhra Pradesh,413659,912047,648.1,39161097.53,103414.75,1.491363636
Maize,2002,Rabi       ,Andhra Pradesh,111990,573695,648.1,10602093.3,27997.5,5.602272727
Mesta,2002,Kharif     ,Andhra Pradesh,81169,613607,648.1,7684269.23,20292.25,7.506363636
Moong(Green Gram),2002,Kharif     ,Andhra Pradesh,355292,87862,648.1,33635493.64,88823,0.217272727
Moong(Green Gram),2002,Rabi       ,Andhra Pradesh,118162,30110,648.1,11186396.54,29540.5,0.291
Niger seed,2002,Kharif     ,Andhra Pradesh,14919,5743,648.1,1412381.73,3729.75,0.38
Onion,2002,Kharif     ,Andhra Pradesh,15403,171950,648.1,1458202.01,3850.75,10.49411765
Onion,2002,Rabi       ,Andhra Pradesh,11725,240657,648.1,1110005.75,2931.25,19.15952381
Other  Rabi pulses,2002,Rabi       ,Andhra Pradesh,1873,518,648.1,177316.91,468.25,0.27375
Other Kharif pulses,2002,Kharif     ,Andhra Pradesh,6915,1532,648.1,654643.05,1728.75,0.223
Potato,2002,Whole Year ,Andhra Pradesh,2672,18677,648.1,252958.24,668,6.946666667
Ragi,2002,Kharif     ,Andhra Pradesh,61644,64480,648.1,5835837.48,15411,1.17375
Ragi,2002,Rabi       ,Andhra Pradesh,9610,12393,648.1,909778.7,2402.5,1.251428571
Rapeseed &Mustard,2002,Rabi       ,Andhra Pradesh,3369,742,648.1,318943.23,842.25,0.302857143
Rice,2002,Kharif     ,Andhra Pradesh,2109301,5054013,648.1,199687525.7,527325.25,2.202727273
Rice,2002,Rabi       ,Andhra Pradesh,712766,2272773,648.1,67477557.22,178191.5,2.533636364
Safflower,2002,Rabi       ,Andhra Pradesh,19350,6776,648.1,1831864.5,4837.5,0.318181818
Sesamum,2002,Kharif     ,Andhra Pradesh,87085,12499,648.1,8244336.95,21771.25,0.128571429
Sesamum,2002,Rabi       ,Andhra Pradesh,28050,5545,648.1,2655493.5,7012.5,0.209444444
Small millets,2002,Kharif     ,Andhra Pradesh,46256,21891,648.1,4379055.52,11564,0.461538462
Small millets,2002,Rabi       ,Andhra Pradesh,1986,720,648.1,188014.62,496.5,0.328333333
Soyabean,2002,Kharif     ,Andhra Pradesh,41284,0,648.1,3908356.28,10321,0
Sugarcane,2002,Whole Year ,Andhra Pradesh,232471,15387218,648.1,22008029.57,58117.75,69.35666667
Sunflower,2002,Kharif     ,Andhra Pradesh,416579,276207,648.1,39437533.93,104144.75,0.9025
Sweet potato,2002,Whole Year ,Andhra Pradesh,1286,13380,648.1,121745.62,321.5,11.29588235
Tapioca,2002,Whole Year ,Andhra Pradesh,13138,79474,648.1,1243774.46,3284.5,5.034285714
Tobacco,2002,Whole Year ,Andhra Pradesh,173612,451214,648.1,16435848.04,43403,3.58547619
Urad,2002,Kharif     ,Andhra Pradesh,110160,45241,648.1,10428847.2,27540,0.240454545
Urad,2002,Rabi       ,Andhra Pradesh,584271,330894,648.1,55312935.57,146067.75,0.386666667
Wheat,2002,Rabi       ,Andhra Pradesh,11044,14898,648.1,1045535.48,2761,1.09
other oilseeds,2002,Rabi       ,Andhra Pradesh,10921,13551,648.1,1033891.07,2730.25,1.224666667
Arecanut,2003,Whole Year ,Andhra Pradesh,311,221,826,30782.78,74.64,0.704
Arhar/Tur,2003,Kharif     ,Andhra Pradesh,513239,214657,826,50800396.22,123177.36,0.424090909
Arhar/Tur,2003,Rabi       ,Andhra Pradesh,7492,3246,826,741558.16,1798.08,0.41625
Bajra,2003,Kharif     ,Andhra Pradesh,128512,141628,826,12720117.76,30842.88,1.072631579
Bajra,2003,Rabi       ,Andhra Pradesh,9603,6475,826,950504.94,2304.72,0.88375
Banana,2003,Whole Year ,Andhra Pradesh,38714,515379,826,3831911.72,9291.36,15.68263158
Cashewnut,2003,Whole Year ,Andhra Pradesh,150077,39207,826,14854621.46,36018.48,0.225
Castor seed,2003,Kharif     ,Andhra Pradesh,290915,131870,826,28794766.7,69819.6,0.447894737
Coconut ,2003,Whole Year ,Andhra Pradesh,103965,1195079360,826,10290455.7,24951.6,9524.628235
Coriander,2003,Whole Year ,Andhra Pradesh,48644,15999,826,4814783.12,11674.56,0.405294118
Cotton(lint),2003,Kharif     ,Andhra Pradesh,836892,1890394,826,82835570.16,200854.08,2.137619048
Dry chillies,2003,Kharif     ,Andhra Pradesh,199545,661563,826,19750964.1,47890.8,3.072272727
Dry chillies,2003,Rabi       ,Andhra Pradesh,50772,135462,826,5025412.56,12185.28,2.584545455
Ginger,2003,Whole Year ,Andhra Pradesh,1873,5614,826,185389.54,449.52,2.995
Gram,2003,Kharif     ,Andhra Pradesh,52,90,826,5146.96,12.48,1.656666667
Gram,2003,Rabi       ,Andhra Pradesh,422059,456464,826,41775399.82,101294.16,1.338947368
Groundnut,2003,Kharif     ,Andhra Pradesh,1258479,607024,826,124564251.4,302034.96,0.836818182
Groundnut,2003,Rabi       ,Andhra Pradesh,234780,378789,826,23238524.4,56347.2,1.645
Horse-gram,2003,Kharif     ,Andhra Pradesh,11304,4592,826,1118869.92,2712.96,0.35
Horse-gram,2003,Rabi       ,Andhra Pradesh,68190,34385,826,6749446.2,16365.6,0.463333333
Jowar,2003,Kharif     ,Andhra Pradesh,274944,349245,826,27213957.12,65986.56,1.965
Jowar,2003,Rabi       ,Andhra Pradesh,373235,392881,826,36942800.3,89576.4,1.286666667
Linseed,2003,Rabi       ,Andhra Pradesh,4542,1193,826,449567.16,1090.08,0.21
Maize,2003,Kharif     ,Andhra Pradesh,557812,1671502,826,55212231.76,133874.88,2.420909091
Maize,2003,Rabi       ,Andhra Pradesh,162802,805284,826,16114141.96,39072.48,5.081818182
Mesta,2003,Kharif     ,Andhra Pradesh,59177,470198,826,5857339.46,14202.48,7.792857143
Moong(Green Gram),2003,Kharif     ,Andhra Pradesh,478726,244136,826,47384299.48,114894.24,0.495
Moong(Green Gram),2003,Rabi       ,Andhra Pradesh,201785,68268,826,19972679.3,48428.4,0.353
Niger seed,2003,Kharif     ,Andhra Pradesh,17295,6792,826,1711859.1,4150.8,0.375
Onion,2003,Kharif     ,Andhra Pradesh,16862,234546,826,1669000.76,4046.88,12.80157895
Onion,2003,Rabi       ,Andhra Pradesh,12187,284935,826,1206269.26,2924.88,19.88333333
Other  Rabi pulses,2003,Rabi       ,Andhra Pradesh,4333,795,826,428880.34,1039.92,0.181818182
Other Kharif pulses,2003,Kharif     ,Andhra Pradesh,8349,2056,826,826384.02,2003.76,0.240769231
Potato,2003,Whole Year ,Andhra Pradesh,2648,24049,826,262099.04,635.52,9.045
Ragi,2003,Kharif     ,Andhra Pradesh,67597,82164,826,6690751.06,16223.28,1.140666667
Ragi,2003,Rabi       ,Andhra Pradesh,10845,19018,826,1073438.1,2602.8,1.783076923
Rapeseed &Mustard,2003,Rabi       ,Andhra Pradesh,1695,432,826,167771.1,406.8,0.285714286
Rice,2003,Kharif     ,Andhra Pradesh,2108904,5841539,826,208739317.9,506136.96,2.670909091
Rice,2003,Rabi       ,Andhra Pradesh,865734,3111263,826,85690351.32,207776.16,2.729090909
Safflower,2003,Rabi       ,Andhra Pradesh,17250,5331,826,1707405,4140,0.297272727
Sesamum,2003,Kharif     ,Andhra Pradesh,114516,33235,826,11334793.68,27483.84,0.262380952
Sesamum,2003,Rabi       ,Andhra Pradesh,46892,9544,826,4641370.16,11254.08,0.204210526
Small millets,2003,Kharif     ,Andhra Pradesh,47510,28020,826,4702539.8,11402.4,0.518666667
Small millets,2003,Rabi       ,Andhra Pradesh,3134,1748,826,310203.32,752.16,0.577142857
Soyabean,2003,Kharif     ,Andhra Pradesh,68424,107298,826,6772607.52,16421.76,1.345
Sugarcane,2003,Whole Year ,Andhra Pradesh,208969,15069824,826,20683751.62,50152.56,74.48380952
Sunflower,2003,Kharif     ,Andhra Pradesh,490757,333265,826,48575127.86,117781.68,1.057142857
Sweet potato,2003,Whole Year ,Andhra Pradesh,1263,9130,826,125011.74,303.12,7.32
Tapioca,2003,Whole Year ,Andhra Pradesh,19456,122145,826,1925754.88,4669.44,6.29
Tobacco,2003,Whole Year ,Andhra Pradesh,191030,516207,826,18908149.4,45847.2,3.782439024
Urad,2003,Kharif     ,Andhra Pradesh,95454,66827,826,9448036.92,22908.96,0.656363636
Urad,2003,Rabi       ,Andhra Pradesh,343078,133336,826,33957860.44,82338.72,0.408
Wheat,2003,Rabi       ,Andhra Pradesh,11928,6741,826,1180633.44,2862.72,0.481818182
other oilseeds,2003,Rabi       ,Andhra Pradesh,14609,0,826,1445998.82,3506.16,0
Arecanut,2005,Whole Year ,Andhra Pradesh,293,234,1075.5,35136.56,61.53,0.8025
Arhar/Tur,2005,Kharif     ,Andhra Pradesh,494523,300636,1075.5,59303198.16,103849.83,0.554545455
Bajra,2005,Kharif     ,Andhra Pradesh,68884,72401,1075.5,8260569.28,14465.64,0.941666667
Bajra,2005,Rabi       ,Andhra Pradesh,12107,9751,1075.5,1451871.44,2542.47,0.952307692
Banana,2005,Whole Year ,Andhra Pradesh,45642,935517,1075.5,5473388.64,9584.82,23.9085
Cashewnut,2005,Whole Year ,Andhra Pradesh,148372,40153,1075.5,17792770.24,31158.12,0.285882353
Castor seed,2005,Kharif     ,Andhra Pradesh,344587,140019,1075.5,41322873.04,72363.27,0.462777778
Coconut ,2005,Whole Year ,Andhra Pradesh,104438,891991928,1075.5,12524204.96,21931.98,7717.767778
Coriander,2005,Whole Year ,Andhra Pradesh,28114,12725,1075.5,3371430.88,5903.94,0.503333333
Cotton(lint),2005,Kharif     ,Andhra Pradesh,1032629,2107984,1075.5,123832869.7,216852.09,1.727272727
Dry chillies,2005,Kharif     ,Andhra Pradesh,127631,417095,1075.5,15305509.52,26802.51,2.937272727
Dry chillies,2005,Rabi       ,Andhra Pradesh,43815,120617,1075.5,5254294.8,9201.15,2.799090909
Garlic,2005,Whole Year ,Andhra Pradesh,800,0,1075.5,95936,168,0
Ginger,2005,Whole Year ,Andhra Pradesh,2161,16456,1075.5,259147.12,453.81,5.812222222
Gram,2005,Rabi       ,Andhra Pradesh,394443,626974,1075.5,47301604.56,82833.03,1.602631579
Groundnut,2005,Kharif     ,Andhra Pradesh,1614668,912020,1075.5,193630986.6,339080.28,1.069545455
Groundnut,2005,Rabi       ,Andhra Pradesh,260876,453797,1075.5,31284249.92,54783.96,1.975
Horse-gram,2005,Kharif     ,Andhra Pradesh,9919,4917,1075.5,1189486.48,2082.99,0.43
Horse-gram,2005,Rabi       ,Andhra Pradesh,46703,16110,1075.5,5600623.76,9807.63,0.32
Jowar,2005,Kharif     ,Andhra Pradesh,182851,280035,1075.5,21927491.92,38398.71,0.996818182
Jowar,2005,Rabi       ,Andhra Pradesh,261245,307992,1075.5,31328500.4,54861.45,1.799090909
Linseed,2005,Rabi       ,Andhra Pradesh,3845,1435,1075.5,461092.4,807.45,0.371666667
Maize,2005,Kharif     ,Andhra Pradesh,593135,2098190,1075.5,71128749.2,124558.35,3.803636364
Maize,2005,Rabi       ,Andhra Pradesh,164827,988711,1075.5,19766053.84,34613.67,6.032272727
Mesta,2005,Kharif     ,Andhra Pradesh,49827,455487,1075.5,5975253.84,10463.67,8.926666667
Moong(Green Gram),2005,Kharif     ,Andhra Pradesh,251959,122697,1075.5,30214923.28,52911.39,0.582272727
Moong(Green Gram),2005,Rabi       ,Andhra Pradesh,132963,42623,1075.5,15944922.96,27922.23,0.448333333
Niger seed,2005,Kharif     ,Andhra Pradesh,15748,6097,1075.5,1888500.16,3307.08,0.465
Onion,2005,Kharif     ,Andhra Pradesh,20434,364201,1075.5,2450445.28,4291.14,15.5455
Onion,2005,Rabi       ,Andhra Pradesh,15952,332092,1075.5,1912963.84,3349.92,20.49047619
Other  Rabi pulses,2005,Rabi       ,Andhra Pradesh,16032,6755,1075.5,1922557.44,3366.72,0.401666667
Other Kharif pulses,2005,Kharif     ,Andhra Pradesh,14585,3836,1075.5,1749033.2,3062.85,0.274666667
Potato,2005,Whole Year ,Andhra Pradesh,3275,29564,1075.5,392738,687.75,8.895
Ragi,2005,Kharif     ,Andhra Pradesh,56576,62947,1075.5,6784593.92,11880.96,1.316428571
Ragi,2005,Rabi       ,Andhra Pradesh,9031,16398,1075.5,1082997.52,1896.51,1.785384615
Rapeseed &Mustard,2005,Rabi       ,Andhra Pradesh,5660,2568,1075.5,678747.2,1188.6,0.2825
Rice,2005,Kharif     ,Andhra Pradesh,2526108,6376990,1075.5,302930871.4,530482.68,2.549090909
Rice,2005,Rabi       ,Andhra Pradesh,1455643,5326634,1075.5,174560708.6,305685.03,3.132272727
Safflower,2005,Rabi       ,Andhra Pradesh,17654,8094,1075.5,2117067.68,3707.34,0.415454545
Sesamum,2005,Kharif     ,Andhra Pradesh,79424,16278,1075.5,9524526.08,16679.04,0.205714286
Sesamum,2005,Rabi       ,Andhra Pradesh,37284,12802,1075.5,4471097.28,7829.64,0.360526316
Small millets,2005,Kharif     ,Andhra Pradesh,43674,26264,1075.5,5237386.08,9171.54,0.6
Small millets,2005,Rabi       ,Andhra Pradesh,438,314,1075.5,52524.96,91.98,0.855
Soyabean,2005,Kharif     ,Andhra Pradesh,97692,190937,1075.5,11715224.64,20515.32,1.424166667
Sugarcane,2005,Whole Year ,Andhra Pradesh,229960,17656395,1075.5,27576803.2,48291.6,83.59
Sunflower,2005,Whole Year ,Andhra Pradesh,444264,297556,1075.5,53276138.88,93295.44,0.931363636
Sweet potato,2005,Whole Year ,Andhra Pradesh,1085,8726,1075.5,130113.2,227.85,8.547777778
Tapioca,2005,Whole Year ,Andhra Pradesh,15281,125986,1075.5,1832497.52,3209.01,7.2075
Tobacco,2005,Whole Year ,Andhra Pradesh,204328,716614,1075.5,24503013.76,42908.88,4.374418605
Urad,2005,Kharif     ,Andhra Pradesh,79206,33844,1075.5,9498383.52,16633.26,0.384761905
Urad,2005,Rabi       ,Andhra Pradesh,341832,216227,1075.5,40992493.44,71784.72,0.621052632
Wheat,2005,Rabi       ,Andhra Pradesh,11109,8891,1075.5,1332191.28,2332.89,0.774
Arecanut,2006,Whole Year ,Andhra Pradesh,255,176,845.2,32566.05,56.1,0.685
Arhar/Tur,2006,Kharif     ,Andhra Pradesh,395644,157669,845.2,50527695.24,87041.68,0.420454545
Arhar/Tur,2006,Rabi       ,Andhra Pradesh,5606,3174,845.2,715942.26,1233.32,0.433333333
Bajra,2006,Kharif     ,Andhra Pradesh,48995,39988,845.2,6257151.45,10778.9,0.7375
Bajra,2006,Rabi       ,Andhra Pradesh,12081,6986,845.2,1542864.51,2657.82,0.824545455
